,HANDLE,bldg_price,VB,new_construction_price,NC,side_lot_price,SL,vacant_lot_price,VL
12020,13724000025,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,5445.341248,"$5,445.34"
12021,13724000030,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,5445.5234439999995,"$5,445.52"
12022,13724000060,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,12743.92117,"$12,743.92"
12023,13724000070,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,9041.096231,"$9,041.10"
12024,13724000131,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12025,13724000150,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2300.519558,"$2,300.52"
12026,13724000180,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,2591.539714,"$2,591.54"
12027,13724000190,0.0,N/A,1562.5,"$1,562.50",586.25,$586.25,2583.171738,"$2,583.17"
12028,13724000200,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,3602.318271,"$3,602.32"
12029,13724000310,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12030,13724000320,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12031,13724000520,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12032,13724000530,5000.0,"$5,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12033,13725000060,2000.0,"$2,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12034,13725000070,0.0,N/A,1937.5,"$1,937.50",-2.0,Ineligible: frontage > 25 ft,4744.478347,"$4,744.48"
12035,13725000090,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12036,13725000110,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12037,13725000120,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12038,13725000130,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12039,13725000140,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12040,13725000150,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12041,13725000160,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12042,13725000170,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12043,13725000180,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12044,13725000380,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12045,13725000390,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12046,13725000400,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12047,13725000410,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12048,13725000420,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12049,13725000430,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12050,13725000440,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12051,13725000450,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12052,13725000460,0.0,N/A,2062.5,"$2,062.50",-2.0,Ineligible: frontage > 25 ft,5049.086567,"$5,049.09"
12053,13725000470,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12054,13725000490,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,3470.156908,"$3,470.16"
12055,13725000500,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,3468.988924,"$3,468.99"
12056,13725000510,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,3467.84923,"$3,467.85"
12057,13725000530,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12058,13725000540,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12059,13725000570,0.0,N/A,-1.0,Contact LRA,-1.0,Contact LRA,1412.21763,"$1,412.22"
12060,13726000070,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12061,13726000080,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12062,13726000090,1000.0,"$1,000.00",0.0,N/A,0.0,N/A,0.0,N/A
12063,13726000110,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12064,13726000120,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12065,13726000130,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12066,13726000150,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12067,13726000160,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
12068,13726000170,0.0,N/A,0.0,N/A,0.0,N/A,0.0,N/A
